gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
ZBTB7A,MEP,0.263732,1,1,other,0.4396,0.0,73
HMGN3,MEP,0.261172,1,1,other,0.4353,0.0,74
ATP5MC2,MEP,0.253832,1,1,other,0.0,0.6346,75
CDK6,MEP,0.253462,1,1,other,0.0,0.6337,76
MEF2C,MEP,0.25304,2,1,tf,0.3219,0.0038,77
NFYB,MEP,0.243683,1,1,other,0.4061,0.0,78
HSP90AA1,MEP,0.239307,1,1,other,0.0,0.5983,79
NANOG,MEP,0.23659,1,1,other,0.3943,0.0,80
ATP5F1E,MEP,0.236484,1,1,other,0.0,0.5912,81
TFAP2A,MEP,0.236043,1,1,other,0.3934,0.0,82
FOSL1,MEP,0.235956,1,1,tf,0.3025,0.0,83
ZEB1,MEP,0.234927,1,1,tf,0.3012,0.0,84
GAS5,MEP,0.231735,1,1,other,0.0,0.5793,85
PBX3,MEP,0.22202,2,1,tf,0.2831,0.0023,86
GNAQ,MEP,0.218652,1,1,other,0.0,0.5466,87
RNF130,MEP,0.21825,1,1,other,0.0,0.5456,88
BCLAF1,MEP,0.216246,1,1,other,0.3604,0.0,89
BCL3,MEP,0.214438,1,1,other,0.3574,0.0,90
NFYA,MEP,0.212378,1,1,other,0.354,0.0,91
CTCFL,MEP,0.210822,1,1,other,0.3514,0.0,92
CHD2,MEP,0.210746,1,1,other,0.3512,0.0,93
E2F4,MEP,0.208441,1,1,tf,0.2672,0.0,94
ARHGAP15,MEP,0.207484,1,1,other,0.0,0.5187,95
HSPD1,MEP,0.203267,1,1,other,0.0,0.5082,96
ETS1,MEP,0.202495,1,1,other,0.3375,0.0,97
STAT2,MEP,0.200948,1,1,tf,0.2576,0.0,98
XACT,MEP,0.200757,1,1,other,0.0,0.5019,99
RPL17,MEP,0.199284,1,1,ribosomal,0.0,0.9058,100
STXBP5,MEP,0.196821,1,1,other,0.0,0.4921,101
CALR,MEP,0.196501,1,1,other,0.0,0.4913,102
GTF2F1,MEP,0.19485,1,1,other,0.3248,0.0,103
SIK3,MEP,0.193892,1,1,other,0.0,0.4847,104
GSTP1,MEP,0.193773,1,1,other,0.0,0.4844,105
ATP5F1B,MEP,0.192558,1,1,other,0.0,0.4814,106
PRSS57,MEP,0.192188,1,1,other,0.0,0.4805,107
EIF4A1,MEP,0.191154,1,1,other,0.0,0.4779,108
ATP5MC3,MEP,0.19097,1,1,other,0.0,0.4774,109
TAF7,MEP,0.189912,1,1,other,0.3165,0.0,110
SMARCB1,MEP,0.187867,1,1,other,0.3131,0.0,111
SNHG6,MEP,0.187198,1,1,other,0.0,0.468,112
ELMO1,MEP,0.18698,1,1,other,0.0,0.4674,113
ATP5MPL,MEP,0.186952,1,1,other,0.0,0.4674,114
ZNF385D,MEP,0.185435,1,1,other,0.0,0.4636,115
PRDM1,MEP,0.180667,1,1,tf,0.2316,0.0,116
NFE2,MEP,0.174146,1,1,tf,0.2233,0.0,117
GTF2B,MEP,0.145236,1,1,other,0.2421,0.0,118
ATF3,MEP,0.143459,1,1,other,0.2391,0.0,119
NRF1,MEP,0.143093,1,1,other,0.2385,0.0,120
RPL36A,MEP,0.140467,1,1,ribosomal,0.0,0.6385,121
BRCA1,MEP,0.121679,1,1,other,0.2028,0.0,122
SIRT6,MEP,0.115062,1,1,other,0.1918,0.0,123
BHLHE40,MEP,0.111071,1,1,other,0.1851,0.0,124
ELK4,MEP,0.103322,1,1,other,0.1722,0.0,125
POU5F1,MEP,0.100247,1,1,other,0.1671,0.0,126
