gene,driver_score,evidence_count,gene_category,category_multiplier,geneWeight_norm,geneWeight_raw,DREM_norm,DREM_raw,DREM_trajectories,dynamic_norm,dynamic_qval,dynamic_log2fc,dynamic_track_count,dynamic_direction,network_norm,is_HC_marker,is_MFVS_driver,rank
XPO7,0.144702,3,other,1.0,0.2905,0.55983,0.0,0.0,0,0.0017,1.700688634106592e-05,0.3542,2,decreasing,0.1501,False,False,676
NEDD4,0.144629,3,other,1.0,0.2943,0.567088,0.0,0.0,0,0.0053,4.566917414809428e-16,0.2971,3,increasing,0.1271,False,False,677
TCF7L2,0.144468,3,other,1.0,0.2851,0.549592,0.0,0.0,0,0.0006,7.033214424467915e-05,0.1513,2,increasing,0.1715,False,False,678
PVT1,0.144263,3,other,1.0,0.2927,0.563988,0.0,0.0,0,0.0013,2.3557684138516104e-06,0.1912,4,increasing,0.1381,False,False,679
FAM102B,0.14407,3,other,1.0,0.2962,0.570651,0.0,0.0,0,0.0021,2.0228144924111057e-09,0.2223,2,increasing,0.1209,False,False,680
DMXL2,0.144007,3,other,1.0,0.2995,0.57693,0.0,0.0,0,0.0006,5.5414868285394236e-05,0.1504,2,increasing,0.1101,False,False,681
IGFBP7,0.143935,3,other,1.0,0.309,0.595094,0.0,0.0,0,0.0019,1.8000175335524886e-08,0.207,3,decreasing,0.0689,False,False,682
HIST1H3H,0.143916,2,other,1.0,0.2698,0.520376,0.0,0.0,0,0.0,1.0,0.0,0,N/A,0.2913,False,False,683
KLF10,0.143887,3,other,1.0,0.2862,0.551653,0.0,0.0,0,0.0008,0.0003424908353023879,0.2525,1,decreasing,0.1616,False,False,684
NUBPL,0.143847,3,other,1.0,0.2958,0.569874,0.0,0.0,0,0.0054,2.333921883258962e-16,0.2989,3,increasing,0.1139,False,False,685
BPGM,0.14381,3,other,1.0,0.2859,0.551051,0.0,0.0,0,0.0042,5.512224457347057e-10,0.5071,1,decreasing,0.1553,False,False,686
ATAD2,0.143767,3,other,1.0,0.2863,0.551727,0.0,0.0,0,0.0012,1.031427809249834e-06,0.1809,3,increasing,0.1595,False,False,687
NBAS,0.143759,3,other,1.0,0.3012,0.580328,0.0,0.0,0,0.0043,3.953870618979098e-14,0.2767,3,increasing,0.0934,False,False,688
HIPK3,0.143756,3,other,1.0,0.2834,0.546331,0.0,0.0,0,0.0037,1.270180541942304e-13,0.2681,2,increasing,0.1658,False,False,689
ADAM28,0.143649,3,other,1.0,0.311,0.59905,0.0,0.0,0,0.0028,2.1695543550630584e-11,0.2466,2,increasing,0.0561,False,False,690
SETBP1,0.143623,3,other,1.0,0.2964,0.571037,0.0,0.0,0,0.0039,6.4990747826134165e-15,0.2848,1,increasing,0.1123,False,False,691
TTC27,0.143411,3,other,1.0,0.2884,0.555752,0.0,0.0,0,0.0015,2.0102175375394153e-07,0.1946,3,increasing,0.1473,False,False,692
FGD4,0.143408,3,other,1.0,0.3093,0.595823,0.0,0.0,0,0.0043,2.2032375923686232e-13,0.2972,3,increasing,0.0576,False,False,693
TPST1,0.143132,3,other,1.0,0.289,0.557019,0.0,0.0,0,0.0013,2.0920730644914674e-07,0.1943,1,increasing,0.1426,False,False,694
ARHGAP24,0.143105,3,other,1.0,0.3009,0.579719,0.0,0.0,0,0.0024,2.866355233973908e-09,0.2437,3,increasing,0.0925,False,False,695
PDZD8,0.142936,3,other,1.0,0.2956,0.569592,0.0,0.0,0,0.0026,4.199059539794138e-10,0.2186,4,increasing,0.1118,False,False,696
SPON2,0.142835,3,other,1.0,0.3036,0.584774,0.0,0.0,0,0.0006,0.001207987687145251,0.2003,2,increasing,0.0831,False,False,697
CKS2,0.1426,3,other,1.0,0.2904,0.55964,0.0,0.0,0,0.0014,4.488552929338141e-07,0.2111,2,increasing,0.1319,False,False,698
S100P,0.142582,3,other,1.0,0.2996,0.57723,0.0,0.0,0,0.0047,9.066821367772111e-16,0.3222,1,increasing,0.0884,False,False,699
SMARCB1,0.142559,2,other,1.0,0.0,0.0,0.368,762.5204,81,0.0,1.0,0.0,0,N/A,0.4378,False,True,700
